id1,id2
MD.model.ptg000007l.1329,ptg000007lG001128
MD.model.ptg000007l.1330,ptg000007lG001129
MD.model.ptg000007l.1333,ptg000007lG001130
MD.model.ptg000007l.1334,ptg000007lG001131
MD.model.ptg000007l.1335,ptg000007lG001132
MD.model.ptg000007l.1336,ptg000007lG001133
MD.model.ptg000007l.1337,ptg000007lG001134
MD.model.ptg000007l.1338,ptg000007lG001135
MD.model.ptg000007l.1339,ptg000007lG001136
MD.model.ptg000007l.134,ptg000007lG000098
MD.model.ptg000007l.1340,ptg000007lG001137
MD.model.ptg000007l.1341,ptg000007lG001138
MD.model.ptg000007l.1342,ptg000007lG001139
MD.model.ptg000007l.1343,ptg000007lG001140
MD.model.ptg000007l.1345,ptg000007lG001141
MD.model.ptg000007l.1348,ptg000007lG001143
MD.model.ptg000007l.1349,ptg000007lG001144
MD.model.ptg000007l.135,ptg000007lG000099
MD.model.ptg000007l.1350,ptg000007lG001145
MD.model.ptg000007l.1351,ptg000007lG001146
MD.model.ptg000007l.1352,ptg000007lG001147
MD.model.ptg000007l.1353,ptg000007lG001148
MD.model.ptg000007l.1354,ptg000007lG001149
MD.model.ptg000007l.1355,ptg000007lG001150
MD.model.ptg000007l.1356,ptg000007lG001151
MD.model.ptg000007l.1357,ptg000007lG001152
MD.model.ptg000007l.1358,ptg000007lG001153
MD.model.ptg000007l.1359,ptg000007lG001154
MD.model.ptg000007l.1361,ptg000007lG001156
MD.model.ptg000007l.1362,ptg000007lG001157
MD.model.ptg000007l.1363,ptg000007lG001158
MD.model.ptg000007l.1364,ptg000007lG001159
MD.model.ptg000007l.1365,ptg000007lG001160
MD.model.ptg000007l.1366,ptg000007lG001161
MD.model.ptg000007l.1367,ptg000007lG001162
MD.model.ptg000007l.1368,ptg000007lG001163
MD.model.ptg000007l.1369,ptg000007lG001164
MD.model.ptg000007l.1370,ptg000007lG001165
MD.model.ptg000007l.1371,ptg000007lG001166
MD.model.ptg000007l.1372,ptg000007lG001167
MD.model.ptg000007l.1373,ptg000007lG001168
MD.model.ptg000007l.1374,ptg000007lG001169
MD.model.ptg000007l.1375,ptg000007lG001170
MD.model.ptg000007l.1376,ptg000007lG001171
MD.model.ptg000007l.1377,ptg000007lG001172
MD.model.ptg000007l.1379,ptg000007lG001174
MD.model.ptg000007l.1380,ptg000007lG001175
MD.model.ptg000007l.1381,ptg000007lG001176
MD.model.ptg000007l.1384,ptg000007lG001177
MD.model.ptg000007l.1385,ptg000007lG001178
MD.model.ptg000007l.1393,ptg000007lG001179
MD.model.ptg000007l.1394,ptg000007lG001180
MD.model.ptg000007l.1395,ptg000007lG001181
MD.model.ptg000007l.1396,ptg000007lG001182
MD.model.ptg000007l.14,ptg000007lG000007
MD.model.ptg000007l.140,ptg000007lG000101
MD.model.ptg000007l.1406,ptg000007lG001184
MD.model.ptg000007l.1409,ptg000007lG001185
MD.model.ptg000007l.141,ptg000007lG000102
MD.model.ptg000007l.1410,ptg000007lG001186
MD.model.ptg000007l.1411,ptg000007lG001187
